Syllable,Start Time,End Time ,Total Duration,Class
/o/,0.8289,1.11874,0.28984,0
/ka/,1.077334,1.5535,0.476166,0
/U/,1.801934,2.020665,0.218731,0
/ri/,2.091774,2.195288,0.103514,0
/lO/,2.236694,2.567939,0.331245,0
/o/,2.692156,3.106213,0.414057,0
/ka/,3.085511,3.354647,0.269136,0
/brAH/,3.458162,3.768704,0.310542,0
/ma/,3.768704,3.95503,0.186326,0
/Nu/,3.95503,4.203464,0.248434,0
/du/,4.203464,4.472601,0.269137,0
/un/,4.928064,5.176498,0.248434,0
/de/,5.238606,5.466338,0.227732,0
/vA/,5.611258,5.818286,0.207028,0
/du/,5.838989,6.108126,0.269137,0
/a/,6.749914,7.019051,0.269137,0
/thA/,7.060457,7.308891,0.248434,0
/du/,7.350297,7.640137,0.28984,0
/chA/,7.764354,8.157708,0.393354,0
/IA/,8.157708,8.509656,0.351948,0
/kha/,8.704872,8.913551,0.208679,0
/stA/,8.920453,9.243826,0.323373,0
/lu/,9.259244,9.5441,0.284856,0
/ye/,10.165565,13.574818,3.409253,3
/du/,10.165565,13.574818,3.409253,3
/ru/,10.165565,13.574818,3.409253,3
/ku/,10.165565,13.574818,3.409253,3
/nna/,14.468765,14.895421,0.426656,0
/du/,14.895421,15.24081,0.345389,0
